{'epoch': 1000, 'lr': 8e-05, 'wd': 0, 'sim_threshold': 0.7, 'loss_p_weight': 0.993, 'loss_d_weight': 0.994, 'loss_weight': 0.001, 'a1': 1e-08, 'a2': 1e-08, 'dropout': 0, 'graph_dropout': 0, 'fr_dim': [4096, [1426, 1024], [681, 256], 4447], 'fd_dim': [2048, [1426, 1024], [681, 256], 4447]}
Epoch: 9 loss: 0.002196, pauc: 0.899696, paupr: 0.415639, paupr_m: 0.463574, dauc: 0.720619, daupr: 0.030937, daupr_m: 0.078647
Epoch: 19 loss: 0.000842, pauc: 0.933672, paupr: 0.677283, paupr_m: 0.680674, dauc: 0.728921, daupr: 0.050819, daupr_m: 0.097336
Epoch: 29 loss: 0.000479, pauc: 0.942044, paupr: 0.735124, paupr_m: 0.768989, dauc: 0.740371, daupr: 0.072836, daupr_m: 0.134831
Epoch: 39 loss: 0.000340, pauc: 0.943222, paupr: 0.755900, paupr_m: 0.795906, dauc: 0.748703, daupr: 0.056278, daupr_m: 0.111488
Epoch: 49 loss: 0.000280, pauc: 0.943874, paupr: 0.776019, paupr_m: 0.816605, dauc: 0.755074, daupr: 0.066198, daupr_m: 0.128186
Epoch: 59 loss: 0.000250, pauc: 0.943837, paupr: 0.785955, paupr_m: 0.826243, dauc: 0.761476, daupr: 0.094010, daupr_m: 0.150768
Epoch: 69 loss: 0.000233, pauc: 0.944795, paupr: 0.793084, paupr_m: 0.835463, dauc: 0.767641, daupr: 0.095812, daupr_m: 0.155912
Epoch: 79 loss: 0.000222, pauc: 0.945342, paupr: 0.799121, paupr_m: 0.839998, dauc: 0.773833, daupr: 0.107978, daupr_m: 0.163733
Epoch: 89 loss: 0.000214, pauc: 0.945910, paupr: 0.804527, paupr_m: 0.844594, dauc: 0.779701, daupr: 0.125249, daupr_m: 0.179625
Epoch: 99 loss: 0.000208, pauc: 0.946298, paupr: 0.809458, paupr_m: 0.846780, dauc: 0.785170, daupr: 0.138662, daupr_m: 0.189076
Epoch: 109 loss: 0.000204, pauc: 0.946709, paupr: 0.813486, paupr_m: 0.847774, dauc: 0.790613, daupr: 0.151526, daupr_m: 0.196366
Epoch: 119 loss: 0.000200, pauc: 0.947142, paupr: 0.816930, paupr_m: 0.848673, dauc: 0.795860, daupr: 0.161140, daupr_m: 0.202232
Epoch: 129 loss: 0.000197, pauc: 0.947345, paupr: 0.819789, paupr_m: 0.849339, dauc: 0.800896, daupr: 0.171900, daupr_m: 0.221706
Epoch: 139 loss: 0.000194, pauc: 0.947627, paupr: 0.822323, paupr_m: 0.849500, dauc: 0.805726, daupr: 0.181224, daupr_m: 0.226642
Epoch: 149 loss: 0.000192, pauc: 0.947792, paupr: 0.824673, paupr_m: 0.850103, dauc: 0.810364, daupr: 0.189988, daupr_m: 0.238982
Epoch: 159 loss: 0.000190, pauc: 0.947945, paupr: 0.826732, paupr_m: 0.850933, dauc: 0.814829, daupr: 0.197582, daupr_m: 0.257059
Epoch: 169 loss: 0.000188, pauc: 0.948120, paupr: 0.828688, paupr_m: 0.851064, dauc: 0.818982, daupr: 0.205500, daupr_m: 0.263064
Epoch: 179 loss: 0.000187, pauc: 0.948235, paupr: 0.830201, paupr_m: 0.851450, dauc: 0.822893, daupr: 0.212562, daupr_m: 0.268399
Epoch: 189 loss: 0.000186, pauc: 0.948383, paupr: 0.831715, paupr_m: 0.851862, dauc: 0.826553, daupr: 0.220504, daupr_m: 0.271755
Epoch: 199 loss: 0.000185, pauc: 0.948373, paupr: 0.833119, paupr_m: 0.852277, dauc: 0.830086, daupr: 0.225816, daupr_m: 0.276003
Epoch: 209 loss: 0.000183, pauc: 0.948379, paupr: 0.834386, paupr_m: 0.852481, dauc: 0.833422, daupr: 0.231009, daupr_m: 0.282295
Epoch: 219 loss: 0.000182, pauc: 0.948439, paupr: 0.835451, paupr_m: 0.852843, dauc: 0.836578, daupr: 0.236608, daupr_m: 0.288063
Epoch: 229 loss: 0.000182, pauc: 0.948414, paupr: 0.836478, paupr_m: 0.853096, dauc: 0.839492, daupr: 0.242285, daupr_m: 0.290868
Epoch: 239 loss: 0.000181, pauc: 0.948331, paupr: 0.837261, paupr_m: 0.853601, dauc: 0.842148, daupr: 0.246690, daupr_m: 0.298229
Epoch: 249 loss: 0.000180, pauc: 0.948343, paupr: 0.837963, paupr_m: 0.853739, dauc: 0.844543, daupr: 0.250327, daupr_m: 0.302237
Epoch: 259 loss: 0.000179, pauc: 0.948220, paupr: 0.838782, paupr_m: 0.854102, dauc: 0.846786, daupr: 0.253724, daupr_m: 0.307082
Epoch: 269 loss: 0.000179, pauc: 0.948305, paupr: 0.839229, paupr_m: 0.854307, dauc: 0.848906, daupr: 0.257244, daupr_m: 0.315867
Epoch: 279 loss: 0.000178, pauc: 0.948239, paupr: 0.839951, paupr_m: 0.854464, dauc: 0.850937, daupr: 0.260080, daupr_m: 0.315695
Epoch: 289 loss: 0.000177, pauc: 0.948267, paupr: 0.840431, paupr_m: 0.854488, dauc: 0.852792, daupr: 0.263055, daupr_m: 0.318851
Epoch: 299 loss: 0.000177, pauc: 0.948261, paupr: 0.840833, paupr_m: 0.854954, dauc: 0.854508, daupr: 0.265226, daupr_m: 0.326658
Epoch: 309 loss: 0.000177, pauc: 0.948080, paupr: 0.841312, paupr_m: 0.856204, dauc: 0.856132, daupr: 0.267483, daupr_m: 0.325639
Epoch: 319 loss: 0.000176, pauc: 0.948232, paupr: 0.841542, paupr_m: 0.856602, dauc: 0.857653, daupr: 0.269724, daupr_m: 0.330574
Epoch: 329 loss: 0.000176, pauc: 0.948162, paupr: 0.841936, paupr_m: 0.856562, dauc: 0.859101, daupr: 0.270679, daupr_m: 0.339901
Epoch: 339 loss: 0.000175, pauc: 0.948197, paupr: 0.842158, paupr_m: 0.857104, dauc: 0.860517, daupr: 0.272907, daupr_m: 0.346351
Epoch: 349 loss: 0.000175, pauc: 0.948265, paupr: 0.842491, paupr_m: 0.857686, dauc: 0.861838, daupr: 0.274323, daupr_m: 0.346702
Epoch: 359 loss: 0.000175, pauc: 0.948319, paupr: 0.842758, paupr_m: 0.857827, dauc: 0.863045, daupr: 0.275277, daupr_m: 0.349499
Epoch: 369 loss: 0.000174, pauc: 0.948109, paupr: 0.842984, paupr_m: 0.858143, dauc: 0.864214, daupr: 0.276380, daupr_m: 0.350618
Epoch: 379 loss: 0.000174, pauc: 0.948390, paupr: 0.842924, paupr_m: 0.858108, dauc: 0.865355, daupr: 0.276859, daupr_m: 0.352105
Epoch: 389 loss: 0.000174, pauc: 0.948206, paupr: 0.843263, paupr_m: 0.858524, dauc: 0.866422, daupr: 0.278251, daupr_m: 0.355173
Epoch: 399 loss: 0.000174, pauc: 0.948352, paupr: 0.843329, paupr_m: 0.858194, dauc: 0.867429, daupr: 0.278635, daupr_m: 0.355659
Epoch: 409 loss: 0.000173, pauc: 0.948172, paupr: 0.843750, paupr_m: 0.858583, dauc: 0.868362, daupr: 0.279497, daupr_m: 0.357400
Epoch: 419 loss: 0.000173, pauc: 0.948413, paupr: 0.843798, paupr_m: 0.858275, dauc: 0.869266, daupr: 0.280880, daupr_m: 0.358145
Epoch: 429 loss: 0.000173, pauc: 0.948142, paupr: 0.844015, paupr_m: 0.858287, dauc: 0.870136, daupr: 0.281122, daupr_m: 0.360006
Epoch: 439 loss: 0.000173, pauc: 0.948196, paupr: 0.844256, paupr_m: 0.858805, dauc: 0.870946, daupr: 0.281624, daupr_m: 0.360382
