{'epoch': 1000, 'lr': 8e-05, 'wd': 0, 'sim_threshold': 0.7, 'loss_p_weight': 0.993, 'loss_d_weight': 0.994, 'loss_weight': 0.002, 'a1': 1e-08, 'a2': 1e-08, 'dropout': 0, 'graph_dropout': 0, 'fr_dim': [4096, [1426, 1024], [681, 256], 4447], 'fd_dim': [2048, [1426, 1024], [681, 256], 4447]}
Epoch: 379 loss: 0.000174, pauc: 0.974435, paupr: 0.905610, paupr_m: 0.867915, dauc: 0.922182, daupr: 0.431629, daupr_m: 0.478740
Epoch: 389 loss: 0.000174, pauc: 0.974388, paupr: 0.905500, paupr_m: 0.868023, dauc: 0.922549, daupr: 0.432573, daupr_m: 0.479425
Epoch: 399 loss: 0.000174, pauc: 0.974331, paupr: 0.905389, paupr_m: 0.867934, dauc: 0.922889, daupr: 0.433752, daupr_m: 0.481756
Epoch: 409 loss: 0.000174, pauc: 0.973761, paupr: 0.905261, paupr_m: 0.868088, dauc: 0.923212, daupr: 0.435812, daupr_m: 0.483154
Epoch: 419 loss: 0.000173, pauc: 0.973742, paupr: 0.905233, paupr_m: 0.868021, dauc: 0.923519, daupr: 0.437053, daupr_m: 0.483872
Epoch: 429 loss: 0.000173, pauc: 0.973585, paupr: 0.905258, paupr_m: 0.867812, dauc: 0.923814, daupr: 0.437603, daupr_m: 0.485175
Epoch: 439 loss: 0.000173, pauc: 0.973315, paupr: 0.905153, paupr_m: 0.867962, dauc: 0.924104, daupr: 0.438618, daupr_m: 0.485108
Epoch: 449 loss: 0.000173, pauc: 0.973206, paupr: 0.904975, paupr_m: 0.867963, dauc: 0.924385, daupr: 0.439266, daupr_m: 0.492238
Epoch: 459 loss: 0.000173, pauc: 0.973287, paupr: 0.905099, paupr_m: 0.868147, dauc: 0.924651, daupr: 0.440318, daupr_m: 0.492489
Epoch: 469 loss: 0.000172, pauc: 0.972955, paupr: 0.905142, paupr_m: 0.868055, dauc: 0.924908, daupr: 0.440990, daupr_m: 0.492889
Epoch: 479 loss: 0.000173, pauc: 0.972691, paupr: 0.904810, paupr_m: 0.871354, dauc: 0.925133, daupr: 0.441672, daupr_m: 0.494197
Epoch: 489 loss: 0.000173, pauc: 0.972617, paupr: 0.904821, paupr_m: 0.868342, dauc: 0.925356, daupr: 0.442370, daupr_m: 0.494903
Epoch: 499 loss: 0.000172, pauc: 0.972726, paupr: 0.904727, paupr_m: 0.868464, dauc: 0.925567, daupr: 0.443099, daupr_m: 0.495173
Epoch: 509 loss: 0.000172, pauc: 0.972568, paupr: 0.904694, paupr_m: 0.868536, dauc: 0.925775, daupr: 0.443650, daupr_m: 0.495632
Epoch: 519 loss: 0.000172, pauc: 0.972283, paupr: 0.904743, paupr_m: 0.868524, dauc: 0.925974, daupr: 0.444413, daupr_m: 0.489490
Epoch: 529 loss: 0.000172, pauc: 0.972232, paupr: 0.904798, paupr_m: 0.868442, dauc: 0.926161, daupr: 0.445077, daupr_m: 0.488147
Epoch: 539 loss: 0.000172, pauc: 0.971993, paupr: 0.904836, paupr_m: 0.868230, dauc: 0.926326, daupr: 0.445665, daupr_m: 0.489986
Epoch: 549 loss: 0.000172, pauc: 0.971966, paupr: 0.904596, paupr_m: 0.871300, dauc: 0.926482, daupr: 0.446189, daupr_m: 0.492015
Epoch: 559 loss: 0.000172, pauc: 0.971648, paupr: 0.904561, paupr_m: 0.867983, dauc: 0.926640, daupr: 0.447218, daupr_m: 0.493511
Epoch: 569 loss: 0.000172, pauc: 0.971644, paupr: 0.904525, paupr_m: 0.871275, dauc: 0.926794, daupr: 0.447328, daupr_m: 0.494656
Epoch: 579 loss: 0.000172, pauc: 0.971875, paupr: 0.904714, paupr_m: 0.867921, dauc: 0.926912, daupr: 0.447880, daupr_m: 0.494447
Epoch: 589 loss: 0.000172, pauc: 0.971683, paupr: 0.904686, paupr_m: 0.871232, dauc: 0.927033, daupr: 0.448187, daupr_m: 0.493345
Epoch: 599 loss: 0.000171, pauc: 0.971746, paupr: 0.904704, paupr_m: 0.871241, dauc: 0.927166, daupr: 0.448769, daupr_m: 0.493570
Epoch: 609 loss: 0.000171, pauc: 0.971376, paupr: 0.904566, paupr_m: 0.871308, dauc: 0.927248, daupr: 0.449280, daupr_m: 0.493856
Epoch: 619 loss: 0.000171, pauc: 0.971569, paupr: 0.904546, paupr_m: 0.871355, dauc: 0.927328, daupr: 0.449407, daupr_m: 0.494392
Epoch: 629 loss: 0.000171, pauc: 0.971283, paupr: 0.904419, paupr_m: 0.871277, dauc: 0.927417, daupr: 0.449902, daupr_m: 0.496597
Epoch: 639 loss: 0.000171, pauc: 0.971192, paupr: 0.904547, paupr_m: 0.868103, dauc: 0.927465, daupr: 0.450259, daupr_m: 0.498255
