{'epoch': 1000, 'lr': 4e-05, 'wd': 8e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.15, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 9 loss: 0.000585, pauc: 0.932678, paupr: 0.045835, paupr_m: 0.104349, dauc: 0.773873, daupr: 0.206677, daupr_m: 0.232804
Epoch: 19 loss: 0.000446, pauc: 0.933252, paupr: 0.054079, paupr_m: 0.163068, dauc: 0.842538, daupr: 0.317849, daupr_m: 0.363258
Epoch: 29 loss: 0.000357, pauc: 0.939698, paupr: 0.082638, paupr_m: 0.176080, dauc: 0.868202, daupr: 0.351432, daupr_m: 0.402119
Epoch: 39 loss: 0.000288, pauc: 0.938496, paupr: 0.078808, paupr_m: 0.215122, dauc: 0.881634, daupr: 0.362843, daupr_m: 0.416566
Epoch: 49 loss: 0.000232, pauc: 0.949308, paupr: 0.148860, paupr_m: 0.241618, dauc: 0.888871, daupr: 0.355564, daupr_m: 0.409778
Epoch: 59 loss: 0.000190, pauc: 0.947827, paupr: 0.184944, paupr_m: 0.289532, dauc: 0.895076, daupr: 0.347719, daupr_m: 0.394420
Epoch: 69 loss: 0.000158, pauc: 0.948172, paupr: 0.197244, paupr_m: 0.314211, dauc: 0.897407, daupr: 0.333812, daupr_m: 0.381788
Epoch: 79 loss: 0.000132, pauc: 0.947185, paupr: 0.323837, paupr_m: 0.375144, dauc: 0.900122, daupr: 0.340888, daupr_m: 0.383405
Epoch: 89 loss: 0.000114, pauc: 0.947389, paupr: 0.309246, paupr_m: 0.410309, dauc: 0.901936, daupr: 0.336949, daupr_m: 0.386901
Epoch: 99 loss: 0.000096, pauc: 0.950846, paupr: 0.344755, paupr_m: 0.415456, dauc: 0.904606, daupr: 0.354879, daupr_m: 0.395469
Epoch: 109 loss: 0.000085, pauc: 0.945452, paupr: 0.376146, paupr_m: 0.449484, dauc: 0.904991, daupr: 0.354693, daupr_m: 0.400723
Epoch: 119 loss: 0.000076, pauc: 0.950312, paupr: 0.363194, paupr_m: 0.458527, dauc: 0.905603, daupr: 0.349772, daupr_m: 0.395831
Epoch: 129 loss: 0.000068, pauc: 0.945253, paupr: 0.407998, paupr_m: 0.487340, dauc: 0.906589, daupr: 0.347629, daupr_m: 0.394938
Epoch: 139 loss: 0.000061, pauc: 0.949305, paupr: 0.414428, paupr_m: 0.511706, dauc: 0.907132, daupr: 0.348033, daupr_m: 0.400333
Epoch: 149 loss: 0.000056, pauc: 0.946304, paupr: 0.397305, paupr_m: 0.488095, dauc: 0.908293, daupr: 0.355321, daupr_m: 0.398130
Epoch: 159 loss: 0.000051, pauc: 0.941744, paupr: 0.435786, paupr_m: 0.514839, dauc: 0.908413, daupr: 0.349110, daupr_m: 0.397321
Epoch: 169 loss: 0.000048, pauc: 0.941488, paupr: 0.407726, paupr_m: 0.485131, dauc: 0.908382, daupr: 0.352625, daupr_m: 0.397301
Epoch: 179 loss: 0.000046, pauc: 0.951389, paupr: 0.445514, paupr_m: 0.533292, dauc: 0.908656, daupr: 0.355044, daupr_m: 0.401458
Epoch: 189 loss: 0.000043, pauc: 0.956951, paupr: 0.433702, paupr_m: 0.539248, dauc: 0.909214, daupr: 0.353446, daupr_m: 0.399230
Epoch: 199 loss: 0.000041, pauc: 0.939470, paupr: 0.464576, paupr_m: 0.508578, dauc: 0.910225, daupr: 0.359697, daupr_m: 0.403705
Epoch: 209 loss: 0.000039, pauc: 0.940562, paupr: 0.438978, paupr_m: 0.509392, dauc: 0.909779, daupr: 0.357606, daupr_m: 0.403352
Epoch: 219 loss: 0.000038, pauc: 0.949778, paupr: 0.464742, paupr_m: 0.552369, dauc: 0.909832, daupr: 0.356404, daupr_m: 0.404257
Epoch: 229 loss: 0.000036, pauc: 0.945657, paupr: 0.475916, paupr_m: 0.542973, dauc: 0.910681, daupr: 0.360830, daupr_m: 0.405958
Epoch: 239 loss: 0.000034, pauc: 0.952663, paupr: 0.479785, paupr_m: 0.539467, dauc: 0.910139, daupr: 0.360670, daupr_m: 0.408757
Epoch: 249 loss: 0.000033, pauc: 0.959023, paupr: 0.463134, paupr_m: 0.515247, dauc: 0.910941, daupr: 0.365481, daupr_m: 0.406152
Epoch: 259 loss: 0.000032, pauc: 0.940490, paupr: 0.486856, paupr_m: 0.533883, dauc: 0.911218, daupr: 0.360592, daupr_m: 0.406394
Epoch: 269 loss: 0.000032, pauc: 0.946282, paupr: 0.474362, paupr_m: 0.519363, dauc: 0.911180, daupr: 0.366019, daupr_m: 0.406289
Epoch: 279 loss: 0.000032, pauc: 0.941298, paupr: 0.496979, paupr_m: 0.530613, dauc: 0.911313, daupr: 0.363662, daupr_m: 0.410704
Epoch: 289 loss: 0.000031, pauc: 0.948928, paupr: 0.513529, paupr_m: 0.562514, dauc: 0.910503, daupr: 0.360642, daupr_m: 0.410092
