{'epoch': 1000, 'lr': 4e-05, 'wd': 8e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.15, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 9 loss: 0.000585, pauc: 0.947002, paupr: 0.053486, paupr_m: 0.109691, dauc: 0.779718, daupr: 0.228555, daupr_m: 0.249361
Epoch: 19 loss: 0.000444, pauc: 0.953526, paupr: 0.072722, paupr_m: 0.158714, dauc: 0.849233, daupr: 0.341153, daupr_m: 0.374336
Epoch: 29 loss: 0.000354, pauc: 0.950995, paupr: 0.127292, paupr_m: 0.212442, dauc: 0.875718, daupr: 0.374937, daupr_m: 0.415342
Epoch: 39 loss: 0.000285, pauc: 0.962257, paupr: 0.121460, paupr_m: 0.244437, dauc: 0.891420, daupr: 0.391979, daupr_m: 0.428954
Epoch: 49 loss: 0.000230, pauc: 0.950820, paupr: 0.152192, paupr_m: 0.250645, dauc: 0.899772, daupr: 0.392735, daupr_m: 0.429070
Epoch: 59 loss: 0.000187, pauc: 0.959309, paupr: 0.206850, paupr_m: 0.297769, dauc: 0.904395, daupr: 0.379918, daupr_m: 0.414728
Epoch: 69 loss: 0.000154, pauc: 0.964162, paupr: 0.262072, paupr_m: 0.328716, dauc: 0.907452, daupr: 0.372903, daupr_m: 0.403699
Epoch: 79 loss: 0.000128, pauc: 0.967513, paupr: 0.284126, paupr_m: 0.348628, dauc: 0.909051, daupr: 0.366035, daupr_m: 0.396112
Epoch: 89 loss: 0.000109, pauc: 0.954117, paupr: 0.336677, paupr_m: 0.380816, dauc: 0.912249, daupr: 0.376933, daupr_m: 0.409075
Epoch: 99 loss: 0.000093, pauc: 0.954643, paupr: 0.339556, paupr_m: 0.402829, dauc: 0.913044, daupr: 0.384913, daupr_m: 0.408960
Epoch: 109 loss: 0.000081, pauc: 0.953608, paupr: 0.366581, paupr_m: 0.406820, dauc: 0.913836, daupr: 0.376512, daupr_m: 0.408596
Epoch: 119 loss: 0.000072, pauc: 0.955325, paupr: 0.387160, paupr_m: 0.406927, dauc: 0.914920, daupr: 0.384517, daupr_m: 0.411172
Epoch: 129 loss: 0.000065, pauc: 0.953548, paupr: 0.372409, paupr_m: 0.436324, dauc: 0.915529, daupr: 0.384446, daupr_m: 0.411669
Epoch: 139 loss: 0.000060, pauc: 0.963516, paupr: 0.429167, paupr_m: 0.450960, dauc: 0.915934, daupr: 0.380294, daupr_m: 0.418116
Epoch: 149 loss: 0.000054, pauc: 0.961598, paupr: 0.398116, paupr_m: 0.449098, dauc: 0.916192, daupr: 0.384641, daupr_m: 0.412924
Epoch: 159 loss: 0.000050, pauc: 0.951400, paupr: 0.416946, paupr_m: 0.456747, dauc: 0.917341, daupr: 0.391777, daupr_m: 0.422007
Epoch: 169 loss: 0.000047, pauc: 0.953119, paupr: 0.443629, paupr_m: 0.457581, dauc: 0.917165, daupr: 0.384881, daupr_m: 0.417123
Epoch: 179 loss: 0.000044, pauc: 0.956502, paupr: 0.454891, paupr_m: 0.464486, dauc: 0.917457, daupr: 0.382815, daupr_m: 0.410542
Epoch: 189 loss: 0.000041, pauc: 0.956375, paupr: 0.482857, paupr_m: 0.494367, dauc: 0.917579, daupr: 0.384106, daupr_m: 0.417793
Epoch: 199 loss: 0.000039, pauc: 0.958376, paupr: 0.473422, paupr_m: 0.497822, dauc: 0.917922, daupr: 0.385273, daupr_m: 0.416433
Epoch: 209 loss: 0.000037, pauc: 0.957356, paupr: 0.482937, paupr_m: 0.489290, dauc: 0.917572, daupr: 0.382569, daupr_m: 0.416883
Epoch: 219 loss: 0.000037, pauc: 0.952964, paupr: 0.485209, paupr_m: 0.489590, dauc: 0.919362, daupr: 0.394308, daupr_m: 0.416916
Epoch: 229 loss: 0.000035, pauc: 0.961074, paupr: 0.490655, paupr_m: 0.468571, dauc: 0.918311, daupr: 0.390763, daupr_m: 0.421030
Epoch: 239 loss: 0.000033, pauc: 0.952033, paupr: 0.483827, paupr_m: 0.487470, dauc: 0.918471, daupr: 0.387364, daupr_m: 0.426485
Epoch: 249 loss: 0.000032, pauc: 0.961753, paupr: 0.489984, paupr_m: 0.513854, dauc: 0.918232, daupr: 0.386961, daupr_m: 0.428606
Epoch: 259 loss: 0.000032, pauc: 0.948853, paupr: 0.512146, paupr_m: 0.514995, dauc: 0.918733, daupr: 0.393349, daupr_m: 0.426321
Epoch: 269 loss: 0.000030, pauc: 0.952191, paupr: 0.493924, paupr_m: 0.517227, dauc: 0.918652, daupr: 0.386795, daupr_m: 0.423675
Epoch: 279 loss: 0.000030, pauc: 0.949365, paupr: 0.520768, paupr_m: 0.543950, dauc: 0.919532, daupr: 0.399506, daupr_m: 0.430371
Epoch: 289 loss: 0.000030, pauc: 0.954805, paupr: 0.486181, paupr_m: 0.510153, dauc: 0.918916, daupr: 0.389784, daupr_m: 0.428142
Epoch: 299 loss: 0.000029, pauc: 0.955849, paupr: 0.517933, paupr_m: 0.529416, dauc: 0.919396, daupr: 0.391492, daupr_m: 0.427139
Epoch: 309 loss: 0.000028, pauc: 0.960828, paupr: 0.490849, paupr_m: 0.518884, dauc: 0.919355, daupr: 0.391436, daupr_m: 0.424713
Epoch: 319 loss: 0.000027, pauc: 0.956982, paupr: 0.514995, paupr_m: 0.509362, dauc: 0.919624, daupr: 0.398736, daupr_m: 0.432448
Epoch: 329 loss: 0.000028, pauc: 0.948318, paupr: 0.504730, paupr_m: 0.516065, dauc: 0.919627, daupr: 0.394477, daupr_m: 0.427339
Epoch: 339 loss: 0.000027, pauc: 0.957623, paupr: 0.519117, paupr_m: 0.557608, dauc: 0.919734, daupr: 0.397504, daupr_m: 0.430728
Epoch: 349 loss: 0.000026, pauc: 0.951279, paupr: 0.510028, paupr_m: 0.545421, dauc: 0.919754, daupr: 0.390926, daupr_m: 0.427342
Epoch: 359 loss: 0.000026, pauc: 0.951216, paupr: 0.515281, paupr_m: 0.531271, dauc: 0.919871, daupr: 0.399378, daupr_m: 0.430501
Epoch: 369 loss: 0.000026, pauc: 0.951667, paupr: 0.527715, paupr_m: 0.531662, dauc: 0.920162, daupr: 0.400392, daupr_m: 0.432473
Epoch: 379 loss: 0.000025, pauc: 0.956899, paupr: 0.515160, paupr_m: 0.530926, dauc: 0.920331, daupr: 0.395431, daupr_m: 0.435963
Epoch: 389 loss: 0.000025, pauc: 0.957953, paupr: 0.531683, paupr_m: 0.530581, dauc: 0.920307, daupr: 0.395906, daupr_m: 0.430175
Epoch: 399 loss: 0.000026, pauc: 0.949463, paupr: 0.531306, paupr_m: 0.532970, dauc: 0.919934, daupr: 0.388839, daupr_m: 0.431759
Epoch: 409 loss: 0.000025, pauc: 0.954031, paupr: 0.527242, paupr_m: 0.540823, dauc: 0.920452, daupr: 0.401069, daupr_m: 0.441422
Epoch: 419 loss: 0.000024, pauc: 0.954226, paupr: 0.522993, paupr_m: 0.539319, dauc: 0.920750, daupr: 0.401494, daupr_m: 0.433059
Epoch: 429 loss: 0.000024, pauc: 0.946495, paupr: 0.523222, paupr_m: 0.532386, dauc: 0.920033, daupr: 0.393068, daupr_m: 0.433841
Epoch: 439 loss: 0.000024, pauc: 0.940378, paupr: 0.536812, paupr_m: 0.557043, dauc: 0.920549, daupr: 0.395120, daupr_m: 0.433666
Epoch: 449 loss: 0.000024, pauc: 0.955426, paupr: 0.517776, paupr_m: 0.531158, dauc: 0.920443, daupr: 0.401547, daupr_m: 0.441695
Epoch: 459 loss: 0.000023, pauc: 0.955033, paupr: 0.537056, paupr_m: 0.539214, dauc: 0.920832, daupr: 0.400254, daupr_m: 0.441862
Epoch: 469 loss: 0.000024, pauc: 0.950550, paupr: 0.535203, paupr_m: 0.557409, dauc: 0.920786, daupr: 0.402734, daupr_m: 0.441145
Epoch: 479 loss: 0.000024, pauc: 0.947830, paupr: 0.539730, paupr_m: 0.563120, dauc: 0.921188, daupr: 0.408061, daupr_m: 0.443637
Epoch: 489 loss: 0.000023, pauc: 0.950098, paupr: 0.530110, paupr_m: 0.531299, dauc: 0.920685, daupr: 0.407696, daupr_m: 0.447739
Epoch: 499 loss: 0.000023, pauc: 0.961348, paupr: 0.532687, paupr_m: 0.549971, dauc: 0.921032, daupr: 0.411506, daupr_m: 0.437925
Epoch: 509 loss: 0.000023, pauc: 0.959873, paupr: 0.538665, paupr_m: 0.541787, dauc: 0.921453, daupr: 0.409621, daupr_m: 0.443022
Epoch: 519 loss: 0.000022, pauc: 0.959840, paupr: 0.538161, paupr_m: 0.535235, dauc: 0.921285, daupr: 0.404167, daupr_m: 0.444045
Epoch: 529 loss: 0.000022, pauc: 0.946145, paupr: 0.538174, paupr_m: 0.538139, dauc: 0.921278, daupr: 0.401994, daupr_m: 0.443065
Epoch: 539 loss: 0.000022, pauc: 0.956410, paupr: 0.535461, paupr_m: 0.560034, dauc: 0.921766, daupr: 0.411356, daupr_m: 0.445756
Epoch: 549 loss: 0.000022, pauc: 0.954107, paupr: 0.540644, paupr_m: 0.541558, dauc: 0.920933, daupr: 0.402686, daupr_m: 0.438694
Epoch: 559 loss: 0.000022, pauc: 0.955477, paupr: 0.540480, paupr_m: 0.556914, dauc: 0.921653, daupr: 0.411146, daupr_m: 0.442780
