{'epoch': 1000, 'lr': 4e-05, 'wd': 8e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.15, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 9 loss: 0.000589, pauc: 0.927228, paupr: 0.026734, paupr_m: 0.071273, dauc: 0.788068, daupr: 0.193280, daupr_m: 0.212422
Epoch: 19 loss: 0.000446, pauc: 0.928730, paupr: 0.051237, paupr_m: 0.154898, dauc: 0.860146, daupr: 0.300947, daupr_m: 0.334494
Epoch: 29 loss: 0.000362, pauc: 0.937334, paupr: 0.077029, paupr_m: 0.191346, dauc: 0.885461, daupr: 0.332746, daupr_m: 0.372555
Epoch: 39 loss: 0.000290, pauc: 0.935903, paupr: 0.103854, paupr_m: 0.195760, dauc: 0.898169, daupr: 0.345360, daupr_m: 0.380696
Epoch: 49 loss: 0.000237, pauc: 0.939081, paupr: 0.126985, paupr_m: 0.255546, dauc: 0.905625, daupr: 0.339641, daupr_m: 0.376158
Epoch: 59 loss: 0.000193, pauc: 0.947471, paupr: 0.190699, paupr_m: 0.269507, dauc: 0.909752, daupr: 0.326425, daupr_m: 0.356530
Epoch: 69 loss: 0.000158, pauc: 0.946414, paupr: 0.247417, paupr_m: 0.309242, dauc: 0.912149, daupr: 0.331040, daupr_m: 0.347144
Epoch: 79 loss: 0.000133, pauc: 0.944488, paupr: 0.241803, paupr_m: 0.334802, dauc: 0.914286, daupr: 0.329676, daupr_m: 0.352321
Epoch: 89 loss: 0.000113, pauc: 0.948292, paupr: 0.267137, paupr_m: 0.325181, dauc: 0.914695, daupr: 0.327311, daupr_m: 0.353225
Epoch: 99 loss: 0.000097, pauc: 0.945378, paupr: 0.270272, paupr_m: 0.331030, dauc: 0.916993, daupr: 0.333194, daupr_m: 0.357861
Epoch: 109 loss: 0.000084, pauc: 0.946219, paupr: 0.301006, paupr_m: 0.379840, dauc: 0.916684, daupr: 0.331744, daupr_m: 0.364272
Epoch: 119 loss: 0.000076, pauc: 0.944024, paupr: 0.321963, paupr_m: 0.394936, dauc: 0.917299, daupr: 0.330872, daupr_m: 0.359237
Epoch: 129 loss: 0.000067, pauc: 0.955089, paupr: 0.303989, paupr_m: 0.402563, dauc: 0.917894, daupr: 0.334979, daupr_m: 0.360555
Epoch: 139 loss: 0.000061, pauc: 0.949462, paupr: 0.345529, paupr_m: 0.415892, dauc: 0.918721, daupr: 0.333142, daupr_m: 0.361628
Epoch: 149 loss: 0.000055, pauc: 0.953783, paupr: 0.326955, paupr_m: 0.443839, dauc: 0.918547, daupr: 0.339454, daupr_m: 0.359546
Epoch: 159 loss: 0.000051, pauc: 0.949449, paupr: 0.331527, paupr_m: 0.415614, dauc: 0.918480, daupr: 0.333807, daupr_m: 0.367258
Epoch: 169 loss: 0.000048, pauc: 0.957306, paupr: 0.334051, paupr_m: 0.458649, dauc: 0.918888, daupr: 0.335132, daupr_m: 0.362907
Epoch: 179 loss: 0.000045, pauc: 0.944032, paupr: 0.337649, paupr_m: 0.457060, dauc: 0.919061, daupr: 0.331964, daupr_m: 0.367681
Epoch: 189 loss: 0.000043, pauc: 0.949912, paupr: 0.359321, paupr_m: 0.467085, dauc: 0.920143, daupr: 0.342432, daupr_m: 0.371581
Epoch: 199 loss: 0.000040, pauc: 0.956090, paupr: 0.363360, paupr_m: 0.465054, dauc: 0.919445, daupr: 0.336720, daupr_m: 0.369680
Epoch: 209 loss: 0.000040, pauc: 0.953186, paupr: 0.354202, paupr_m: 0.511867, dauc: 0.919888, daupr: 0.340644, daupr_m: 0.372124
Epoch: 219 loss: 0.000037, pauc: 0.940454, paupr: 0.368903, paupr_m: 0.483080, dauc: 0.920077, daupr: 0.336695, daupr_m: 0.367755
Epoch: 229 loss: 0.000036, pauc: 0.948381, paupr: 0.388523, paupr_m: 0.485928, dauc: 0.919844, daupr: 0.332962, daupr_m: 0.372861
Epoch: 239 loss: 0.000035, pauc: 0.945197, paupr: 0.404179, paupr_m: 0.510312, dauc: 0.919881, daupr: 0.334564, daupr_m: 0.371323
Epoch: 249 loss: 0.000034, pauc: 0.940622, paupr: 0.375300, paupr_m: 0.509108, dauc: 0.920355, daupr: 0.340024, daupr_m: 0.370413
Epoch: 259 loss: 0.000033, pauc: 0.944752, paupr: 0.391100, paupr_m: 0.491336, dauc: 0.920976, daupr: 0.342180, daupr_m: 0.374756
