{'epoch': 1000, 'lr': 9e-05, 'wd': 6e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.2, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 9 loss: 0.000512, pauc: 0.865986, paupr: 0.033169, paupr_m: 0.103506, dauc: 0.815514, daupr: 0.288408, daupr_m: 0.352885
Epoch: 19 loss: 0.000343, pauc: 0.868110, paupr: 0.064098, paupr_m: 0.150229, dauc: 0.850701, daupr: 0.319424, daupr_m: 0.384405
Epoch: 29 loss: 0.000241, pauc: 0.889015, paupr: 0.130163, paupr_m: 0.250402, dauc: 0.862593, daupr: 0.297299, daupr_m: 0.333209
Epoch: 39 loss: 0.000175, pauc: 0.881464, paupr: 0.180810, paupr_m: 0.249333, dauc: 0.866314, daupr: 0.271865, daupr_m: 0.304166
Epoch: 49 loss: 0.000130, pauc: 0.884353, paupr: 0.207145, paupr_m: 0.298335, dauc: 0.871890, daupr: 0.299380, daupr_m: 0.354769
Epoch: 59 loss: 0.000102, pauc: 0.887193, paupr: 0.268799, paupr_m: 0.332992, dauc: 0.874710, daupr: 0.308818, daupr_m: 0.365015
Epoch: 69 loss: 0.000082, pauc: 0.899597, paupr: 0.312057, paupr_m: 0.335948, dauc: 0.875517, daupr: 0.310266, daupr_m: 0.356966
Epoch: 79 loss: 0.000067, pauc: 0.876480, paupr: 0.307350, paupr_m: 0.357840, dauc: 0.878132, daupr: 0.316326, daupr_m: 0.358848
Epoch: 89 loss: 0.000059, pauc: 0.882851, paupr: 0.318265, paupr_m: 0.374817, dauc: 0.877273, daupr: 0.311748, daupr_m: 0.364053
Epoch: 99 loss: 0.000051, pauc: 0.883447, paupr: 0.351916, paupr_m: 0.412756, dauc: 0.878785, daupr: 0.318666, daupr_m: 0.363400
Epoch: 109 loss: 0.000045, pauc: 0.884255, paupr: 0.349565, paupr_m: 0.404947, dauc: 0.877967, daupr: 0.315450, daupr_m: 0.371777
Epoch: 119 loss: 0.000041, pauc: 0.880710, paupr: 0.346003, paupr_m: 0.403438, dauc: 0.878045, daupr: 0.307366, daupr_m: 0.368563
Epoch: 129 loss: 0.000038, pauc: 0.875642, paupr: 0.372933, paupr_m: 0.435581, dauc: 0.878920, daupr: 0.316010, daupr_m: 0.372273
Epoch: 139 loss: 0.000036, pauc: 0.873306, paupr: 0.380544, paupr_m: 0.433118, dauc: 0.880783, daupr: 0.316875, daupr_m: 0.369434
Epoch: 149 loss: 0.000035, pauc: 0.883100, paupr: 0.373962, paupr_m: 0.454429, dauc: 0.880214, daupr: 0.318356, daupr_m: 0.380104
Epoch: 159 loss: 0.000033, pauc: 0.877687, paupr: 0.378598, paupr_m: 0.429428, dauc: 0.881829, daupr: 0.330405, daupr_m: 0.379604
Epoch: 169 loss: 0.000031, pauc: 0.895719, paupr: 0.372834, paupr_m: 0.451398, dauc: 0.881239, daupr: 0.324089, daupr_m: 0.374125
Epoch: 179 loss: 0.000030, pauc: 0.884278, paupr: 0.387195, paupr_m: 0.449856, dauc: 0.881662, daupr: 0.321310, daupr_m: 0.377860
Epoch: 189 loss: 0.000029, pauc: 0.884034, paupr: 0.375210, paupr_m: 0.457194, dauc: 0.881703, daupr: 0.327268, daupr_m: 0.383124
Epoch: 199 loss: 0.000028, pauc: 0.897080, paupr: 0.400090, paupr_m: 0.478801, dauc: 0.881220, daupr: 0.320022, daupr_m: 0.385218
Epoch: 209 loss: 0.000028, pauc: 0.889352, paupr: 0.378065, paupr_m: 0.450390, dauc: 0.881378, daupr: 0.320549, daupr_m: 0.390086
Epoch: 219 loss: 0.000027, pauc: 0.872198, paupr: 0.400168, paupr_m: 0.476007, dauc: 0.882586, daupr: 0.322116, daupr_m: 0.381170
Epoch: 229 loss: 0.000026, pauc: 0.896871, paupr: 0.394948, paupr_m: 0.476450, dauc: 0.881673, daupr: 0.321313, daupr_m: 0.387831
Epoch: 239 loss: 0.000026, pauc: 0.881124, paupr: 0.399366, paupr_m: 0.480805, dauc: 0.882697, daupr: 0.332232, daupr_m: 0.387732
Epoch: 249 loss: 0.000026, pauc: 0.874291, paupr: 0.409908, paupr_m: 0.471758, dauc: 0.882143, daupr: 0.323186, daupr_m: 0.398606
Epoch: 259 loss: 0.000026, pauc: 0.886345, paupr: 0.417751, paupr_m: 0.466626, dauc: 0.883512, daupr: 0.327237, daupr_m: 0.387770
Epoch: 269 loss: 0.000025, pauc: 0.888277, paupr: 0.416842, paupr_m: 0.498340, dauc: 0.882424, daupr: 0.324027, daupr_m: 0.389511
Epoch: 279 loss: 0.000025, pauc: 0.893406, paupr: 0.378462, paupr_m: 0.451720, dauc: 0.882508, daupr: 0.319591, daupr_m: 0.387054
Epoch: 289 loss: 0.000024, pauc: 0.873814, paupr: 0.405800, paupr_m: 0.479342, dauc: 0.883977, daupr: 0.334637, daupr_m: 0.388603
Epoch: 299 loss: 0.000026, pauc: 0.890608, paupr: 0.398058, paupr_m: 0.474807, dauc: 0.884403, daupr: 0.337550, daupr_m: 0.395913
Epoch: 309 loss: 0.000024, pauc: 0.872453, paupr: 0.408903, paupr_m: 0.460553, dauc: 0.884070, daupr: 0.326187, daupr_m: 0.392494
Epoch: 319 loss: 0.000024, pauc: 0.894257, paupr: 0.422905, paupr_m: 0.462839, dauc: 0.884220, daupr: 0.336071, daupr_m: 0.395704
Epoch: 329 loss: 0.000023, pauc: 0.882551, paupr: 0.432118, paupr_m: 0.472588, dauc: 0.884475, daupr: 0.331688, daupr_m: 0.397477
Epoch: 339 loss: 0.000023, pauc: 0.895125, paupr: 0.405943, paupr_m: 0.460748, dauc: 0.884448, daupr: 0.331834, daupr_m: 0.398354
Epoch: 349 loss: 0.000023, pauc: 0.873769, paupr: 0.423303, paupr_m: 0.464612, dauc: 0.884349, daupr: 0.333312, daupr_m: 0.399473
Epoch: 359 loss: 0.000022, pauc: 0.893386, paupr: 0.425035, paupr_m: 0.463747, dauc: 0.883764, daupr: 0.330013, daupr_m: 0.401870
Epoch: 369 loss: 0.000022, pauc: 0.893521, paupr: 0.427479, paupr_m: 0.472837, dauc: 0.884860, daupr: 0.340976, daupr_m: 0.404877
Epoch: 379 loss: 0.000022, pauc: 0.891213, paupr: 0.405957, paupr_m: 0.471483, dauc: 0.883410, daupr: 0.327302, daupr_m: 0.404206
Epoch: 389 loss: 0.000023, pauc: 0.892234, paupr: 0.429128, paupr_m: 0.470903, dauc: 0.884290, daupr: 0.326394, daupr_m: 0.403809
Epoch: 399 loss: 0.000022, pauc: 0.878092, paupr: 0.413142, paupr_m: 0.481126, dauc: 0.885186, daupr: 0.351225, daupr_m: 0.408982
Epoch: 409 loss: 0.000022, pauc: 0.889240, paupr: 0.410335, paupr_m: 0.478380, dauc: 0.884773, daupr: 0.335814, daupr_m: 0.404595
Epoch: 419 loss: 0.000022, pauc: 0.892510, paupr: 0.436080, paupr_m: 0.480568, dauc: 0.884332, daupr: 0.329356, daupr_m: 0.411872
Epoch: 429 loss: 0.000022, pauc: 0.892895, paupr: 0.412753, paupr_m: 0.458604, dauc: 0.884217, daupr: 0.337504, daupr_m: 0.406917
Epoch: 439 loss: 0.000022, pauc: 0.891654, paupr: 0.414171, paupr_m: 0.451526, dauc: 0.884505, daupr: 0.329188, daupr_m: 0.408157
Epoch: 449 loss: 0.000021, pauc: 0.890473, paupr: 0.420179, paupr_m: 0.473719, dauc: 0.882746, daupr: 0.310484, daupr_m: 0.416380
Epoch: 459 loss: 0.000021, pauc: 0.893537, paupr: 0.441456, paupr_m: 0.480667, dauc: 0.884959, daupr: 0.336310, daupr_m: 0.414651
Epoch: 469 loss: 0.000021, pauc: 0.894586, paupr: 0.437523, paupr_m: 0.478841, dauc: 0.884562, daupr: 0.337180, daupr_m: 0.413239
Epoch: 479 loss: 0.000020, pauc: 0.887660, paupr: 0.425452, paupr_m: 0.478285, dauc: 0.886488, daupr: 0.350601, daupr_m: 0.417558
Epoch: 489 loss: 0.000021, pauc: 0.894832, paupr: 0.430397, paupr_m: 0.487126, dauc: 0.885731, daupr: 0.348487, daupr_m: 0.416409
Epoch: 499 loss: 0.000021, pauc: 0.890408, paupr: 0.428103, paupr_m: 0.455374, dauc: 0.884708, daupr: 0.331003, daupr_m: 0.411770
Epoch: 509 loss: 0.000021, pauc: 0.881481, paupr: 0.422776, paupr_m: 0.481103, dauc: 0.884959, daupr: 0.338905, daupr_m: 0.409106
Epoch: 519 loss: 0.000020, pauc: 0.906354, paupr: 0.417516, paupr_m: 0.477080, dauc: 0.884628, daupr: 0.339584, daupr_m: 0.412389
Epoch: 529 loss: 0.000020, pauc: 0.891239, paupr: 0.436105, paupr_m: 0.483052, dauc: 0.883988, daupr: 0.328750, daupr_m: 0.413931
Epoch: 539 loss: 0.000020, pauc: 0.897230, paupr: 0.430715, paupr_m: 0.469815, dauc: 0.885350, daupr: 0.342387, daupr_m: 0.420244
Epoch: 549 loss: 0.000020, pauc: 0.890005, paupr: 0.426753, paupr_m: 0.491570, dauc: 0.884760, daupr: 0.337559, daupr_m: 0.420554
Epoch: 559 loss: 0.000020, pauc: 0.887011, paupr: 0.419794, paupr_m: 0.478586, dauc: 0.884791, daupr: 0.331742, daupr_m: 0.421991
Epoch: 569 loss: 0.000020, pauc: 0.873522, paupr: 0.425795, paupr_m: 0.482984, dauc: 0.884480, daupr: 0.334581, daupr_m: 0.415192
Epoch: 579 loss: 0.000020, pauc: 0.896239, paupr: 0.436833, paupr_m: 0.487349, dauc: 0.884644, daupr: 0.340147, daupr_m: 0.415512
Epoch: 589 loss: 0.000022, pauc: 0.884803, paupr: 0.424031, paupr_m: 0.465529, dauc: 0.884811, daupr: 0.334086, daupr_m: 0.419897
Epoch: 599 loss: 0.000020, pauc: 0.874208, paupr: 0.431575, paupr_m: 0.466512, dauc: 0.885611, daupr: 0.340407, daupr_m: 0.419733
Epoch: 609 loss: 0.000020, pauc: 0.888208, paupr: 0.466144, paupr_m: 0.487591, dauc: 0.884646, daupr: 0.332814, daupr_m: 0.416007
Epoch: 619 loss: 0.000021, pauc: 0.887752, paupr: 0.447778, paupr_m: 0.482234, dauc: 0.884747, daupr: 0.336849, daupr_m: 0.419069
Epoch: 629 loss: 0.000020, pauc: 0.898205, paupr: 0.415901, paupr_m: 0.468472, dauc: 0.885096, daupr: 0.331024, daupr_m: 0.423328
Epoch: 639 loss: 0.000020, pauc: 0.896099, paupr: 0.427562, paupr_m: 0.481704, dauc: 0.885947, daupr: 0.348628, daupr_m: 0.426872
Epoch: 649 loss: 0.000019, pauc: 0.896712, paupr: 0.447655, paupr_m: 0.487287, dauc: 0.885580, daupr: 0.342174, daupr_m: 0.420058
Epoch: 659 loss: 0.000020, pauc: 0.888056, paupr: 0.426114, paupr_m: 0.476476, dauc: 0.884935, daupr: 0.329934, daupr_m: 0.420776
Epoch: 669 loss: 0.000019, pauc: 0.879744, paupr: 0.424147, paupr_m: 0.477688, dauc: 0.884536, daupr: 0.334803, daupr_m: 0.432353
Epoch: 679 loss: 0.000020, pauc: 0.889424, paupr: 0.439576, paupr_m: 0.488467, dauc: 0.884470, daupr: 0.331305, daupr_m: 0.423468
Epoch: 689 loss: 0.000020, pauc: 0.892033, paupr: 0.429467, paupr_m: 0.467715, dauc: 0.885460, daupr: 0.344363, daupr_m: 0.423798
Epoch: 699 loss: 0.000020, pauc: 0.898542, paupr: 0.436066, paupr_m: 0.505038, dauc: 0.885867, daupr: 0.355594, daupr_m: 0.420812
Epoch: 709 loss: 0.000020, pauc: 0.905616, paupr: 0.439067, paupr_m: 0.488209, dauc: 0.885383, daupr: 0.339727, daupr_m: 0.423388
Epoch: 719 loss: 0.000020, pauc: 0.886835, paupr: 0.423983, paupr_m: 0.476725, dauc: 0.884545, daupr: 0.336089, daupr_m: 0.421856
Epoch: 729 loss: 0.000019, pauc: 0.902845, paupr: 0.445673, paupr_m: 0.474387, dauc: 0.884897, daupr: 0.341897, daupr_m: 0.420095
Epoch: 739 loss: 0.000022, pauc: 0.890838, paupr: 0.405075, paupr_m: 0.472581, dauc: 0.885304, daupr: 0.349035, daupr_m: 0.421259
