{'epoch': 1000, 'lr': 9e-05, 'wd': 6e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.2, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 379 loss: 0.000022, pauc: 0.938739, paupr: 0.483450, paupr_m: 0.572747, dauc: 0.919695, daupr: 0.427533, daupr_m: 0.478925
Epoch: 389 loss: 0.000021, pauc: 0.943557, paupr: 0.469712, paupr_m: 0.587422, dauc: 0.919849, daupr: 0.430092, daupr_m: 0.484938
Epoch: 399 loss: 0.000022, pauc: 0.931468, paupr: 0.484362, paupr_m: 0.591414, dauc: 0.919209, daupr: 0.419732, daupr_m: 0.480292
Epoch: 409 loss: 0.000021, pauc: 0.927548, paupr: 0.471561, paupr_m: 0.572951, dauc: 0.919319, daupr: 0.423520, daupr_m: 0.479286
Epoch: 419 loss: 0.000020, pauc: 0.935556, paupr: 0.487649, paupr_m: 0.587403, dauc: 0.919285, daupr: 0.421140, daupr_m: 0.494676
Epoch: 429 loss: 0.000021, pauc: 0.927940, paupr: 0.490850, paupr_m: 0.578966, dauc: 0.919820, daupr: 0.435090, daupr_m: 0.489462
Epoch: 439 loss: 0.000021, pauc: 0.950365, paupr: 0.473501, paupr_m: 0.601541, dauc: 0.920205, daupr: 0.425277, daupr_m: 0.486987
Epoch: 449 loss: 0.000020, pauc: 0.933756, paupr: 0.492459, paupr_m: 0.597038, dauc: 0.920268, daupr: 0.431963, daupr_m: 0.487513
Epoch: 459 loss: 0.000020, pauc: 0.929175, paupr: 0.484717, paupr_m: 0.594953, dauc: 0.920426, daupr: 0.430271, daupr_m: 0.483897
Epoch: 469 loss: 0.000020, pauc: 0.940627, paupr: 0.479996, paupr_m: 0.598240, dauc: 0.920531, daupr: 0.444801, daupr_m: 0.488819
Epoch: 479 loss: 0.000020, pauc: 0.931782, paupr: 0.470661, paupr_m: 0.571326, dauc: 0.920272, daupr: 0.435703, daupr_m: 0.486751
Epoch: 489 loss: 0.000020, pauc: 0.930755, paupr: 0.479394, paupr_m: 0.582868, dauc: 0.920256, daupr: 0.434989, daupr_m: 0.485691
Epoch: 499 loss: 0.000020, pauc: 0.916809, paupr: 0.481840, paupr_m: 0.587639, dauc: 0.920020, daupr: 0.428799, daupr_m: 0.505616
Epoch: 509 loss: 0.000020, pauc: 0.928184, paupr: 0.468024, paupr_m: 0.579814, dauc: 0.919629, daupr: 0.427421, daupr_m: 0.490315
Epoch: 519 loss: 0.000020, pauc: 0.927497, paupr: 0.477533, paupr_m: 0.575274, dauc: 0.920381, daupr: 0.441235, daupr_m: 0.492766
Epoch: 529 loss: 0.000019, pauc: 0.935154, paupr: 0.458696, paupr_m: 0.598737, dauc: 0.920688, daupr: 0.437353, daupr_m: 0.490178
Epoch: 539 loss: 0.000020, pauc: 0.938058, paupr: 0.469980, paupr_m: 0.583705, dauc: 0.920108, daupr: 0.427727, daupr_m: 0.495609
Epoch: 549 loss: 0.000020, pauc: 0.937786, paupr: 0.486306, paupr_m: 0.576904, dauc: 0.921654, daupr: 0.452834, daupr_m: 0.495189
Epoch: 559 loss: 0.000019, pauc: 0.941632, paupr: 0.473661, paupr_m: 0.610869, dauc: 0.920449, daupr: 0.435230, daupr_m: 0.495671
Epoch: 569 loss: 0.000020, pauc: 0.923566, paupr: 0.478408, paupr_m: 0.578917, dauc: 0.920795, daupr: 0.440868, daupr_m: 0.492561
Epoch: 579 loss: 0.000019, pauc: 0.941728, paupr: 0.477989, paupr_m: 0.576736, dauc: 0.921043, daupr: 0.445714, daupr_m: 0.492249
Epoch: 589 loss: 0.000020, pauc: 0.935148, paupr: 0.489633, paupr_m: 0.583520, dauc: 0.920912, daupr: 0.442959, daupr_m: 0.504933
Epoch: 599 loss: 0.000020, pauc: 0.923873, paupr: 0.489701, paupr_m: 0.583889, dauc: 0.920289, daupr: 0.439270, daupr_m: 0.494150
Epoch: 609 loss: 0.000019, pauc: 0.936905, paupr: 0.480312, paupr_m: 0.587945, dauc: 0.920632, daupr: 0.437702, daupr_m: 0.494856
Epoch: 619 loss: 0.000019, pauc: 0.930009, paupr: 0.465031, paupr_m: 0.603126, dauc: 0.921162, daupr: 0.447755, daupr_m: 0.493444
Epoch: 629 loss: 0.000019, pauc: 0.928133, paupr: 0.485016, paupr_m: 0.583875, dauc: 0.921000, daupr: 0.448036, daupr_m: 0.498905
Epoch: 639 loss: 0.000019, pauc: 0.932657, paupr: 0.487912, paupr_m: 0.605369, dauc: 0.920754, daupr: 0.441903, daupr_m: 0.493709
Epoch: 649 loss: 0.000019, pauc: 0.922707, paupr: 0.489771, paupr_m: 0.581847, dauc: 0.921045, daupr: 0.448489, daupr_m: 0.498767
Epoch: 659 loss: 0.000022, pauc: 0.929839, paupr: 0.482116, paupr_m: 0.583353, dauc: 0.920401, daupr: 0.435462, daupr_m: 0.498382
Epoch: 669 loss: 0.000018, pauc: 0.930872, paupr: 0.478799, paupr_m: 0.586389, dauc: 0.919984, daupr: 0.432196, daupr_m: 0.507293
Epoch: 679 loss: 0.000019, pauc: 0.942603, paupr: 0.478888, paupr_m: 0.597876, dauc: 0.920140, daupr: 0.432824, daupr_m: 0.499142
Epoch: 689 loss: 0.000019, pauc: 0.930967, paupr: 0.501657, paupr_m: 0.590910, dauc: 0.920490, daupr: 0.442480, daupr_m: 0.498223
Epoch: 699 loss: 0.000020, pauc: 0.924248, paupr: 0.480353, paupr_m: 0.590237, dauc: 0.920353, daupr: 0.436400, daupr_m: 0.498379
Epoch: 709 loss: 0.000019, pauc: 0.931893, paupr: 0.495007, paupr_m: 0.603378, dauc: 0.921339, daupr: 0.455531, daupr_m: 0.499508
Epoch: 719 loss: 0.000020, pauc: 0.927465, paupr: 0.477329, paupr_m: 0.575103, dauc: 0.920667, daupr: 0.444534, daupr_m: 0.508557
Epoch: 729 loss: 0.000019, pauc: 0.938154, paupr: 0.478980, paupr_m: 0.583508, dauc: 0.920422, daupr: 0.442302, daupr_m: 0.501965
Epoch: 739 loss: 0.000019, pauc: 0.933303, paupr: 0.475426, paupr_m: 0.573236, dauc: 0.920137, daupr: 0.428969, daupr_m: 0.499723
Epoch: 749 loss: 0.000018, pauc: 0.929328, paupr: 0.495477, paupr_m: 0.572869, dauc: 0.920132, daupr: 0.431263, daupr_m: 0.501529
Epoch: 759 loss: 0.000018, pauc: 0.926420, paupr: 0.483146, paupr_m: 0.584518, dauc: 0.920380, daupr: 0.432431, daupr_m: 0.502599
Epoch: 769 loss: 0.000018, pauc: 0.942872, paupr: 0.480427, paupr_m: 0.581048, dauc: 0.921050, daupr: 0.445204, daupr_m: 0.499193
Epoch: 779 loss: 0.000020, pauc: 0.921094, paupr: 0.504996, paupr_m: 0.601332, dauc: 0.921938, daupr: 0.468563, daupr_m: 0.499743
Epoch: 789 loss: 0.000018, pauc: 0.930781, paupr: 0.472929, paupr_m: 0.586778, dauc: 0.920576, daupr: 0.441840, daupr_m: 0.498465
Epoch: 799 loss: 0.000019, pauc: 0.934618, paupr: 0.477036, paupr_m: 0.596497, dauc: 0.920582, daupr: 0.437285, daupr_m: 0.501743
Epoch: 809 loss: 0.000018, pauc: 0.917345, paupr: 0.483911, paupr_m: 0.587565, dauc: 0.920906, daupr: 0.439991, daupr_m: 0.500931
Epoch: 819 loss: 0.000018, pauc: 0.929944, paupr: 0.481824, paupr_m: 0.579345, dauc: 0.921497, daupr: 0.456447, daupr_m: 0.503722
Epoch: 829 loss: 0.000019, pauc: 0.941590, paupr: 0.493272, paupr_m: 0.598809, dauc: 0.920968, daupr: 0.446587, daupr_m: 0.500195
Epoch: 839 loss: 0.000018, pauc: 0.928013, paupr: 0.488681, paupr_m: 0.598288, dauc: 0.921067, daupr: 0.440686, daupr_m: 0.498936
Epoch: 849 loss: 0.000020, pauc: 0.933879, paupr: 0.476933, paupr_m: 0.578406, dauc: 0.920395, daupr: 0.433905, daupr_m: 0.502983
Epoch: 859 loss: 0.000019, pauc: 0.931232, paupr: 0.483280, paupr_m: 0.584057, dauc: 0.920941, daupr: 0.446812, daupr_m: 0.500530
Epoch: 869 loss: 0.000019, pauc: 0.935354, paupr: 0.490259, paupr_m: 0.581887, dauc: 0.921333, daupr: 0.449537, daupr_m: 0.501715
Epoch: 879 loss: 0.000020, pauc: 0.913005, paupr: 0.452456, paupr_m: 0.562322, dauc: 0.921274, daupr: 0.453072, daupr_m: 0.500348
Epoch: 889 loss: 0.000018, pauc: 0.932592, paupr: 0.498147, paupr_m: 0.609286, dauc: 0.920304, daupr: 0.428121, daupr_m: 0.497819
Epoch: 899 loss: 0.000018, pauc: 0.928397, paupr: 0.479745, paupr_m: 0.606808, dauc: 0.921277, daupr: 0.456646, daupr_m: 0.506106
